Date,Open,High,Low,Close*,Adj. close**,Volume
21-Aug-2018,310.61,324.79,309.00,321.90,321.90,"1,31,72,200"
20-Aug-2018,291.70,308.50,288.20,308.44,308.44,"1,74,02,300"
17-Aug-2018,323.50,326.77,303.53,305.50,305.50,"1,89,58,600"
16-Aug-2018,339.91,342.28,333.82,335.45,335.45,"60,64,000"
15-Aug-2018,341.91,344.49,332.14,338.69,338.69,"91,01,300"
14-Aug-2018,358.45,359.20,347.10,347.64,347.64,"69,86,400"
13-Aug-2018,361.13,363.19,349.02,356.41,356.41,"1,04,50,200"
10-Aug-2018,354.00,360.00,346.00,355.49,355.49,"1,15,52,000"
09-Aug-2018,365.55,367.01,345.73,352.45,352.45,"1,71,03,700"
08-Aug-2018,369.09,382.64,367.12,370.34,370.34,"2,45,71,200"
07-Aug-2018,343.84,387.46,339.15,379.57,379.57,"3,08,75,800"
06-Aug-2018,345.46,354.98,341.82,341.99,341.99,"85,64,300"
03-Aug-2018,347.81,355.00,342.53,348.17,348.17,"1,36,56,500"
02-Aug-2018,328.44,349.99,323.16,349.54,349.54,"2,32,15,000"
01-Aug-2018,297.99,303.00,293.00,300.84,300.84,"1,01,29,400"
31-Jul-2018,292.25,298.32,289.07,298.14,298.14,"50,76,900"
30-Jul-2018,295.90,296.10,286.13,290.17,290.17,"68,14,100"
27-Jul-2018,307.25,307.69,295.34,297.18,297.18,"57,03,300"
26-Jul-2018,304.85,310.70,303.64,306.65,306.65,"46,30,500"
25-Jul-2018,296.74,309.62,294.50,308.74,308.74,"70,75,400"
24-Jul-2018,304.42,307.72,292.55,297.43,297.43,"95,90,800"
23-Jul-2018,301.84,305.50,292.86,303.20,303.20,"1,09,92,900"
20-Jul-2018,321.23,323.24,311.71,313.58,313.58,"51,62,200"
19-Jul-2018,316.33,323.54,314.01,320.23,320.23,"59,15,300"
18-Jul-2018,325.00,325.50,316.25,323.85,323.85,"56,24,200"
17-Jul-2018,308.81,324.74,308.50,322.69,322.69,"69,96,200"
16-Jul-2018,311.71,315.16,306.25,310.10,310.10,"78,18,700"
13-Jul-2018,315.58,319.58,309.25,318.87,318.87,"58,69,800"
12-Jul-2018,321.43,323.23,312.77,316.71,316.71,"57,21,200"
11-Jul-2018,315.80,321.94,315.07,318.96,318.96,"48,84,100"
10-Jul-2018,324.56,327.68,319.20,322.47,322.47,"94,71,500"
09-Jul-2018,311.99,318.52,308.00,318.51,318.51,"75,96,800"
06-Jul-2018,304.95,312.07,302.00,308.90,308.90,"88,65,500"
05-Jul-2018,313.76,314.39,296.22,309.16,309.16,"1,74,76,400"
03-Jul-2018,331.75,332.49,309.69,310.86,310.86,"1,22,82,600"
02-Jul-2018,360.07,364.78,329.85,335.07,335.07,"1,87,59,800"
29-Jun-2018,353.33,353.86,342.41,342.95,342.95,"64,92,400"
28-Jun-2018,348.66,357.02,346.11,349.93,349.93,"83,98,000"
27-Jun-2018,345.00,350.79,339.50,344.50,344.50,"83,33,700"
26-Jun-2018,336.05,343.55,325.80,342.00,342.00,"74,52,500"
25-Jun-2018,330.12,338.47,327.50,333.01,333.01,"69,31,300"
22-Jun-2018,351.54,352.25,332.00,333.63,333.63,"1,02,66,100"
21-Jun-2018,362.00,366.21,346.27,347.51,347.51,"79,67,100"
